Index,Time,CenterX,CenterY,LeftX,LeftY,RightX,RightY
36470,405.2222,0.7614239,0.313947,0.7661895,0.2679044,0.3689278,0.4389211
36471,405.2333,0.7614239,0.313947,0.7661895,0.2679044,0.3689278,0.4389211
36472,405.2444,0.7614239,0.313947,0.7661895,0.2679044,0.3689278,0.4389211
36473,405.2556,0.7614239,0.313947,0.7661895,0.2679044,0.3689278,0.4389211
36474,405.2667,0.7614239,0.313947,0.7661895,0.2679044,0.3689278,0.4389211
36475,405.2778,0.7614239,0.313947,0.7661895,0.2679044,0.3689278,0.4389211
36476,405.2889,0.7614239,0.313947,0.7661895,0.2679044,0.3689278,0.4389211
36477,405.3,0.7614239,0.313947,0.7661895,0.2679044,0.3689278,0.4389211
36478,405.3111,0.7614239,0.313947,0.7661895,0.2679044,0.3689278,0.4389211
36479,405.3222,0.7614239,0.313947,0.7661895,0.2679044,0.3689278,0.4389211
36480,405.3333,0.7614239,0.313947,0.7661895,0.2679044,0.3689278,0.4389211
36481,405.3445,0.7614239,0.313947,0.7661895,0.2679044,0.3689278,0.4389211
36482,405.3556,0.7614239,0.313947,0.7661895,0.2679044,0.3689278,0.4389211
36483,405.3667,0.7614239,0.313947,0.7661895,0.2679044,0.3689278,0.4389211
36484,405.3778,0.7614239,0.313947,0.7661895,0.2679044,0.3689278,0.4389211
36485,405.3889,0.7614239,0.313947,0.7661895,0.2679044,0.3689278,0.4389211
36486,405.4,0.7614239,0.313947,0.7661895,0.2679044,0.3689278,0.4389211
36487,405.4111,0.7614239,0.313947,0.7661895,0.2679044,0.3689278,0.4389211
36488,405.4222,0.7614239,0.313947,0.7661895,0.2679044,0.3689278,0.4389211
36489,405.4333,0.7614239,0.313947,0.7661895,0.2679044,0.3689278,0.4389211
36490,405.4445,0.7614239,0.313947,0.7661895,0.2679044,0.3689278,0.4389211
36491,405.4556,0.7614239,0.313947,0.7661895,0.2679044,0.3689278,0.4389211
36492,405.4667,0.7614239,0.313947,0.7661895,0.2679044,0.3689278,0.4389211
36493,405.4778,0.7614239,0.313947,0.7661895,0.2679044,0.3689278,0.4389211
36494,405.4889,0.7614239,0.313947,0.7661895,0.2679044,0.3689278,0.4389211
36495,405.5,0.7614239,0.313947,0.7661895,0.2679044,0.3689278,0.4389211
36496,405.5111,0.7614239,0.313947,0.7661895,0.2679044,0.3689278,0.4389211
36497,405.5222,0.7614239,0.313947,0.7661895,0.2679044,0.3689278,0.4389211
36498,405.5334,0.7614239,0.313947,0.7661895,0.2679044,0.3689278,0.4389211
36499,405.5445,0.7614239,0.313947,0.7661895,0.2679044,0.3689278,0.4389211
36500,405.5556,0.7614239,0.313947,0.7661895,0.2679044,0.3689278,0.4389211
36501,405.5667,0.7614239,0.313947,0.7661895,0.2679044,0.3689278,0.4389211
36502,405.5778,0.7614239,0.313947,0.7661895,0.2679044,0.3689278,0.4389211
36503,405.5889,0.3826504,0.4427778,0.7661895,0.2679044,0.4006556,0.453742
36504,405.6,0.3826504,0.4427778,0.7661895,0.2679044,0.4006556,0.453742
36505,405.6111,0.3826504,0.4427778,0.7661895,0.2679044,0.4006556,0.453742
36506,405.6222,0.3826504,0.4427778,0.7661895,0.2679044,0.4006556,0.453742
36507,405.6333,0.3826504,0.4427778,0.7661895,0.2679044,0.4006556,0.453742
36508,405.6444,0.3826504,0.4427778,0.7661895,0.2679044,0.4006556,0.453742
36509,405.6556,0.3836775,0.443212,0.7661895,0.2679044,0.4017894,0.4542242
36510,405.6667,0.3836775,0.443212,0.7661895,0.2679044,0.4017894,0.4542242
36511,405.6778,0.3836775,0.443212,0.7661895,0.2679044,0.4017894,0.4542242
36512,405.6889,0.3836775,0.443212,0.7661895,0.2679044,0.4017894,0.4542242
36513,405.7,0.3836775,0.443212,0.7661895,0.2679044,0.4017894,0.4542242
36514,405.7111,0.3836775,0.443212,0.7661895,0.2679044,0.4017894,0.4542242
36515,405.7222,0.3836775,0.443212,0.7661895,0.2679044,0.4017894,0.4542242
36516,405.7333,0.3836775,0.443212,0.7661895,0.2679044,0.4017894,0.4542242
36517,405.7444,0.3836775,0.443212,0.7661895,0.2679044,0.4017894,0.4542242
36518,405.7556,0.3836775,0.443212,0.7661895,0.2679044,0.4017894,0.4542242
36519,405.7667,0.3836775,0.443212,0.7661895,0.2679044,0.4017894,0.4542242
36520,405.7778,0.3836775,0.443212,0.7661895,0.2679044,0.4017894,0.4542242
36521,405.7889,0.3836775,0.443212,0.7661895,0.2679044,0.4017894,0.4542242
36522,405.8,0.3836775,0.443212,0.7661895,0.2679044,0.4017894,0.4542242
36523,405.8111,0.3836775,0.443212,0.7661895,0.2679044,0.4017894,0.4542242
36524,405.8222,0.3836775,0.443212,0.7661895,0.2679044,0.4017894,0.4542242
36525,405.8333,0.3836775,0.443212,0.7661895,0.2679044,0.4017894,0.4542242
36526,405.8445,0.3836775,0.443212,0.7661895,0.2679044,0.4017894,0.4542242
36527,405.8556,0.3836775,0.443212,0.7661895,0.2679044,0.4017894,0.4542242
36528,405.8667,0.3836775,0.443212,0.7661895,0.2679044,0.4017894,0.4542242
36529,405.8778,0.3836775,0.443212,0.7661895,0.2679044,0.4017894,0.4542242
36530,405.8889,0.3836775,0.443212,0.7661895,0.2679044,0.4017894,0.4542242
36531,405.9,0.3836775,0.443212,0.7661895,0.2679044,0.4017894,0.4542242
36532,405.9111,0.3836775,0.443212,0.7661895,0.2679044,0.4017894,0.4542242
36533,405.9222,0.3836775,0.443212,0.7661895,0.2679044,0.4017894,0.4542242
36534,405.9333,0.3836775,0.443212,0.7661895,0.2679044,0.4017894,0.4542242
36535,405.9445,0.3836775,0.443212,0.7661895,0.2679044,0.4017894,0.4542242
36536,405.9556,0.3836775,0.443212,0.7661895,0.2679044,0.4017894,0.4542242
36537,405.9667,0.3836775,0.443212,0.7661895,0.2679044,0.4017894,0.4542242
